playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,adapt_score
smithbi02,1,,1,1,0,0,0,0,0,0,1,0,0,1,,,,0.0
smithbi03,10,,10,10,9,0,0,0,0,0,1,0,0,1,,,,0.32089999999999996
smithbi04,32,6.0,32,32,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbi05,370,266.0,370,349,0,0,9,255,5,93,0,0,0,0,7.0,29.0,20.0,0.8609
smithbi06,10,1.0,10,10,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbl01,5,0.0,1,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbo01,17,1.0,17,17,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbo02,742,460.0,742,690,435,0,0,25,23,208,0,1,0,1,0.0,26.0,12.0,1.0468
smithbo03,91,8.0,91,91,91,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbo04,476,212.0,476,364,0,0,0,0,1,0,189,123,62,364,0.0,123.0,46.0,1.3228
smithbo05,30,10.0,30,30,30,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbo06,258,216.0,258,244,0,0,6,70,171,7,1,0,1,2,8.0,15.0,14.0,0.9596
smithbr01,365,255.0,365,365,365,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbr02,9,5.0,9,7,0,0,7,0,0,0,0,0,0,0,1.0,2.0,1.0,0.0
smithbr03,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbu01,14,,14,14,0,0,0,0,0,0,11,0,2,13,,,,0.47730000000000006
smithbu02,27,24.0,25,27,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbu03,10,7.0,8,10,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithca01,11,4.0,11,8,0,0,0,0,0,0,0,4,4,8,0.0,3.0,0.0,1.0157
smithca02,82,0.0,5,82,82,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithch01,14,,14,14,0,0,0,3,12,0,0,0,0,0,,,,0.6000000000000001
smithch02,218,33.0,218,217,212,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.015800000000000036
smithch03,5,1.0,5,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithch04,771,633.0,771,680,0,0,0,1,623,61,13,0,0,13,0.0,101.0,6.0,0.35009999999999986
smithch05,31,18.0,31,20,0,0,15,1,1,0,4,0,0,4,0.0,12.0,0.0,0.8895
smithch06,36,34.0,33,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0
smithch07,63,0.0,36,63,63,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithch08,12,0.0,0,12,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithcl01,18,1.0,18,18,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithda01,22,0.0,22,22,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithda02,609,1.0,609,609,609,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithda03,5,0.0,0,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithda04,2,1.0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithda05,17,2.0,1,17,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithda06,87,17.0,83,87,87,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithdi01,70,47.0,70,57,0,0,0,4,37,18,0,0,0,0,0.0,6.0,10.0,1.0389
smithdi02,76,30.0,76,51,0,0,20,0,0,0,20,11,2,32,0.0,16.0,18.0,1.5137
smithdi03,21,7.0,21,9,0,0,0,0,0,0,9,0,0,9,0.0,12.0,1.0,0.0
smithdo01,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithdw01,813,387.0,813,484,0,0,0,0,0,0,238,98,173,484,5.0,371.0,7.0,1.3772
smithea01,495,385.0,495,403,0,0,0,0,84,0,136,69,114,319,0.0,84.0,6.0,1.745
smithea02,863,657.0,863,720,0,720,0,0,0,0,0,0,0,0,0.0,129.0,0.0,0.0
smithea03,5,5.0,5,5,0,0,0,0,0,0,0,5,0,5,0.0,0.0,0.0,0.0
smithed01,26,,26,26,11,0,2,0,0,0,3,0,14,17,,,,1.3914
smithed02,30,,30,30,0,1,0,0,0,0,0,30,0,30,,,,0.10729999999999995
smithed03,19,,19,19,19,0,0,0,0,0,0,0,0,0,,,,0.0
