id,key,value,type
305816,type,multipolygon,regular
305816,natural,wetland,regular
305818,type,multipolygon,regular
305818,natural,wetland,regular
305820,type,multipolygon,regular
305820,natural,water,regular
305822,type,multipolygon,regular
305822,natural,wetland,regular
305823,type,multipolygon,regular
305823,natural,wetland,regular
305824,type,multipolygon,regular
305824,natural,water,regular
305825,type,multipolygon,regular
305825,natural,water,regular
305828,type,multipolygon,regular
305828,natural,water,regular
305829,type,multipolygon,regular
305829,natural,water,regular
305830,type,multipolygon,regular
305830,natural,wetland,regular
305833,type,multipolygon,regular
305833,natural,wetland,regular
305834,ele,0.90000000000,regular
305834,type,multipolygon,regular
305834,source,NHD,regular
305834,natural,water,regular
305834,ComID,139188049,NHD
305834,FCode,39009,NHD
305834,FDate,2005/08/26,NHD
305834,FTYPE,LakePond,NHD
305834,Elevation,0.90000000000,NHD
305834,ReachCode,08090203036277,NHD
305834,RESOLUTION,High,NHD
305835,type,multipolygon,regular
305835,natural,wetland,regular
305845,type,multipolygon,regular
305845,natural,wetland,regular
305846,type,multipolygon,regular
305846,source,NHD,regular
305846,natural,wetland,regular
305846,ComID,139207108,NHD
305846,FCode,46600,NHD
305846,FDate,2005/08/24,NHD
305846,FTYPE,SwampMarsh,NHD
305846,RESOLUTION,High,NHD
305847,type,multipolygon,regular
305847,natural,wetland,regular
305848,type,multipolygon,regular
305848,natural,wetland,regular
305850,type,multipolygon,regular
305850,natural,water,regular
305851,type,multipolygon,regular
305851,natural,wetland,regular
305857,type,multipolygon,regular
305857,natural,wetland,regular
305858,type,multipolygon,regular
305858,source,NHD,regular
305858,natural,wetland,regular
305858,ComID,139202112,NHD
305858,FCode,46600,NHD
305858,FDate,2005/08/24,NHD
305858,FTYPE,SwampMarsh,NHD
305858,RESOLUTION,High,NHD
305859,type,multipolygon,regular
305859,natural,wetland,regular
305860,type,multipolygon,regular
305860,natural,water,regular
305861,type,multipolygon,regular
305861,natural,water,regular
305862,type,multipolygon,regular
305862,natural,wetland,regular
305863,type,multipolygon,regular
305863,natural,water,regular
305865,type,multipolygon,regular
305865,natural,wetland,regular
305867,type,multipolygon,regular
305867,natural,wetland,regular
305868,type,multipolygon,regular
305868,source,NHD,regular
305868,natural,wetland,regular
305868,ComID,139208970,NHD
305868,FCode,46600,NHD
305868,FDate,2005/08/24,NHD
305868,FTYPE,SwampMarsh,NHD
305868,RESOLUTION,High,NHD
305871,type,multipolygon,regular
305871,natural,water,regular
305872,type,multipolygon,regular
305872,natural,wetland,regular
305873,type,multipolygon,regular
305873,natural,water,regular
305874,type,multipolygon,regular
305874,natural,water,regular
305875,type,multipolygon,regular
305875,source,NHD,regular
305875,natural,wetland,regular
305875,ComID,139207388,NHD
305875,FCode,46600,NHD
305875,FDate,2005/08/24,NHD
305875,FTYPE,SwampMarsh,NHD
305875,RESOLUTION,High,NHD
305876,type,multipolygon,regular
305876,natural,wetland,regular
305877,type,multipolygon,regular
305877,natural,water,regular
305891,type,multipolygon,regular
305891,natural,wetland,regular
305893,type,multipolygon,regular
305893,natural,wetland,regular
305894,type,multipolygon,regular
305894,natural,water,regular
305896,natural,wetland,regular
305896,type,multipolygon,regular
305897,type,multipolygon,regular
305897,natural,wetland,regular
305898,type,multipolygon,regular
305898,natural,water,regular
305899,type,multipolygon,regular
305899,natural,wetland,regular
305900,type,multipolygon,regular
305900,natural,wetland,regular
305902,type,multipolygon,regular
305902,natural,wetland,regular
305908,type,multipolygon,regular
305908,natural,wetland,regular
305909,type,multipolygon,regular
305909,source,NHD,regular
305909,natural,wetland,regular
305909,ComID,139207083,NHD
305909,FCode,46600,NHD
305909,FDate,2005/08/24,NHD
305909,FTYPE,SwampMarsh,NHD
305909,RESOLUTION,High,NHD
305910,type,multipolygon,regular
305910,natural,water,regular
305911,type,multipolygon,regular
305911,natural,wetland,regular
305912,type,multipolygon,regular
305912,natural,wetland,regular
305913,type,multipolygon,regular
305913,natural,wetland,regular
305914,type,multipolygon,regular
305914,natural,wetland,regular
305915,type,multipolygon,regular
305915,natural,water,regular
305916,type,multipolygon,regular
305916,natural,wetland,regular
305917,type,multipolygon,regular
305917,natural,wetland,regular
305926,type,multipolygon,regular
305926,natural,wetland,regular
305927,type,multipolygon,regular
305927,natural,water,regular
305928,type,multipolygon,regular
305928,natural,wetland,regular
305929,type,multipolygon,regular
305929,natural,wetland,regular
305930,type,multipolygon,regular
305930,natural,wetland,regular
305932,type,multipolygon,regular
305932,natural,wetland,regular
305933,type,multipolygon,regular
305933,natural,wetland,regular
305934,type,multipolygon,regular
305934,natural,water,regular
305935,type,multipolygon,regular
305935,natural,water,regular
305936,type,multipolygon,regular
305936,natural,wetland,regular
305939,type,multipolygon,regular
305939,natural,wetland,regular
305941,type,multipolygon,regular
305941,natural,wetland,regular
305943,type,multipolygon,regular
305943,natural,water,regular
305945,type,multipolygon,regular
305945,natural,wetland,regular
305946,type,multipolygon,regular
305946,source,NHD,regular
305946,natural,wetland,regular
305946,ComID,139207347,NHD
305946,FCode,46600,NHD
305946,FDate,2005/08/24,NHD
305946,FTYPE,SwampMarsh,NHD
305946,RESOLUTION,High,NHD
305948,type,multipolygon,regular
305948,natural,water,regular
305949,type,multipolygon,regular
305949,natural,wetland,regular
305950,type,multipolygon,regular
305950,natural,wetland,regular
305953,type,multipolygon,regular
305953,natural,water,regular
305955,type,multipolygon,regular
305955,natural,wetland,regular
305957,type,multipolygon,regular
305957,natural,wetland,regular
305959,type,multipolygon,regular
305959,natural,water,regular
305960,type,multipolygon,regular
305960,natural,water,regular
305961,type,multipolygon,regular
305961,natural,wetland,regular
305962,type,multipolygon,regular
305962,natural,wetland,regular
305964,type,multipolygon,regular
305964,source,NHD,regular
305964,natural,water,regular
305964,ComID,139200041,NHD
305964,FCode,39004,NHD
305964,FDate,2005/08/26,NHD
305964,FTYPE,LakePond,NHD
305964,ReachCode,08090203047786,NHD
305964,RESOLUTION,High,NHD
305965,type,multipolygon,regular
305965,natural,wetland,regular
305966,type,multipolygon,regular
305966,source,NHD,regular
305966,natural,wetland,regular
305966,ComID,139207265,NHD
305966,FCode,46600,NHD
305966,FDate,2005/08/24,NHD
305966,FTYPE,SwampMarsh,NHD
305966,RESOLUTION,High,NHD
305968,type,multipolygon,regular
305968,natural,wetland,regular
305969,type,multipolygon,regular
305969,natural,wetland,regular
305970,natural,water,regular
305970,ComID,139181689,NHD
305970,FCode,39004,NHD
305970,FDate,2005/08/26,NHD
305970,FTYPE,LakePond,NHD
305970,ReachCode,08090203030674,NHD
305970,RESOLUTION,High,NHD
305970,type,multipolygon,regular
305971,type,multipolygon,regular
305971,natural,wetland,regular
305972,type,multipolygon,regular
305972,natural,wetland,regular
305973,type,multipolygon,regular
305973,natural,wetland,regular
305974,type,multipolygon,regular
305974,natural,wetland,regular
305977,type,multipolygon,regular
305977,natural,wetland,regular
305978,type,multipolygon,regular
305978,natural,wetland,regular
305979,type,multipolygon,regular
305979,natural,wetland,regular
305979,wetland,saltmarsh,regular
305979,ComID,139207077,NHD
305979,FCode,46600,NHD
305979,FDate,2005/08/24,NHD
305979,FTYPE,SwampMarsh,NHD
305979,RESOLUTION,High,NHD
305981,type,multipolygon,regular
305981,source,NHD,regular
305981,natural,wetland,regular
305981,ComID,139207384,NHD
305981,FCode,46600,NHD
305981,FDate,2005/08/24,NHD
305981,FTYPE,SwampMarsh,NHD
305981,RESOLUTION,High,NHD
305983,type,multipolygon,regular
305983,natural,water,regular
305985,type,multipolygon,regular
305985,natural,wetland,regular
305986,type,multipolygon,regular
305986,natural,wetland,regular
305987,type,multipolygon,regular
305987,natural,water,regular
305988,type,multipolygon,regular
305988,natural,wetland,regular
305989,type,multipolygon,regular
305989,natural,wetland,regular
305993,type,multipolygon,regular
305993,natural,wetland,regular
305994,type,multipolygon,regular
305994,natural,wetland,regular
305995,type,multipolygon,regular
305995,natural,wetland,regular
305996,type,multipolygon,regular
305996,natural,water,regular
305999,type,multipolygon,regular
